Time (s),BPM
1,60.0
3,108.0
4,60.0
5,66.0
7,72.0
8,60.0
10,108.0
11,66.0
13,60.0
14,72.0
15,84.0
17,84.0
18,84.0
20,84.0
21,60.0
22,0.0
24,60.0
25,60.0
27,60.0
28,60.0
30,60.0
31,60.0
32,60.0
34,60.0
35,60.0
37,60.0
38,120.0
39,66.0
41,60.0
42,60.0
44,60.0
45,102.0
47,66.0
48,108.0
49,102.0
51,102.0
52,102.0
54,102.0
55,60.0
56,60.0
58,60.0
59,60.0
61,60.0
62,60.0
64,102.0
65,102.0
66,102.0
68,102.0
69,96.0
71,72.0
72,60.0
73,78.0
75,78.0
76,78.0
78,78.0
80,78.0
81,78.0
83,78.0
84,78.0
86,78.0
87,78.0
88,108.0
90,108.0
91,78.0
93,84.0
94,84.0
95,84.0
97,84.0
98,84.0
100,84.0
101,84.0
103,84.0
104,84.0
106,102.0
107,114.0
108,90.0
110,66.0
111,72.0
113,84.0
114,66.0
115,96.0
117,66.0
118,66.0
120,66.0
121,66.0
123,96.0
124,66.0
125,66.0
127,90.0
128,96.0
130,90.0
131,96.0
133,66.0
134,66.0
135,78.0
137,78.0
138,78.0
140,78.0
141,60.0
143,60.0
144,60.0
146,60.0
